product_name,category,stock_quantity,cost,supplier_id
Acme Phone X,Phones,228,79.00,1
Acme Phone XL,Phones,107,129.00,1
GlobexBook Air,Accessories,172,199.00,2
Globex Buds,Laptops,104,199.00,2
Initech Charger 65W,Laptops,181,129.00,3
Initech Pro 15,Gaming,249,1499.00,3
Umbrella Cam,Gaming,28,1099.00,4
Stark Speaker,Gaming,53,899.00,5
Wayne GamePad,Gaming,72,39.99,6
Wonka USB-C Cable,Accessories,107,129.00,7
Hooli SmartPlug,Gaming,186,899.00,8
Hooli Headset,Laptops,185,199.00,8
Acme Tablet 10,Phones,68,19.99,1
Globex Dock,Audio,112,129.00,2
Stark Keyboard,Phones,64,1099.00,5
Wayne Mouse,Gaming,90,79.00,6
Wonka PowerBank,Gaming,137,249.00,7
Initech Hub 7p,Gaming,127,39.99,3
Acme Earbuds,Audio,45,79.00,1
Umbrella Router,Gaming,153,899.00,4
